id;start_date;end_date;language
1;2020-07-19T15:32:24;2020-07-19T08:40:41;ENGLISH
2;2020-07-19T17:02:29;2020-07-19T02:08:39;ENGLISH
3;2020-07-19T12:34:34;2020-07-19T03:58:34;ENGLISH
4;2020-07-19T01:46:25;2020-07-19T09:13:27;FRENCH
5;2020-07-19T10:45:04;2020-07-19T15:29:13;FRENCH
6;2020-07-19T17:02:05;2020-07-19T18:19:01;SPANISH
7;2020-07-19T02:24:24;2020-07-19T15:05:11;FRENCH
8;2020-07-18T23:55:43;2020-07-19T07:55:52;FRENCH
9;2020-07-19T09:43:49;2020-07-19T18:08:27;ENGLISH
10;2020-07-19T13:01:59;2020-07-19T10:18:13;SPANISH
