id;start_date;end_date;language
1;2020-07-19T11:44:08;2020-07-19T04:52:25;FRENCH
2;2020-07-19T13:14:13;2020-07-18T22:20:23;FRENCH
3;2020-07-19T08:46:18;2020-07-19T00:10:18;SPANISH
4;2020-07-18T21:58:09;2020-07-19T05:25:11;FRENCH
5;2020-07-19T06:56:48;2020-07-19T11:40:57;FRENCH
6;2020-07-19T13:13:49;2020-07-19T14:30:45;ENGLISH
7;2020-07-18T22:36:08;2020-07-19T11:16:55;FRENCH
8;2020-07-18T20:07:27;2020-07-19T04:07:36;ENGLISH
9;2020-07-19T05:55:33;2020-07-19T14:20:11;FRENCH
10;2020-07-19T09:13:43;2020-07-19T06:29:57;ENGLISH
